src_ip,dst_ip,dst_port,proto,service,duration,src_bytes,dst_bytes,conn_state,missed_bytes,src_pkts,src_ip_bytes,dst_pkts,dst_ip_bytes,label,type
192.168.1.37,192.168.1.193,49178,tcp,-,290.371539,101568,2592,OTH,0,108,108064,31,3832,1,backdoor
192.168.1.193,192.168.1.37,8080,tcp,-,0.000102,0,0,REJ,0,1,52,1,40,1,backdoor
192.168.1.193,192.168.1.37,8080,tcp,-,0.000148,0,0,REJ,0,1,52,1,40,1,backdoor
192.168.1.193,192.168.1.37,8080,tcp,-,0.000113,0,0,REJ,0,1,48,1,40,1,backdoor
192.168.1.193,192.168.1.37,8080,tcp,-,0.00013,0,0,REJ,0,1,52,1,40,1,backdoor
192.168.1.193,192.168.1.37,8080,tcp,-,0.008403,0,0,REJ,0,1,52,1,40,1,backdoor
192.168.1.193,192.168.1.37,8080,tcp,-,0.000137,0,0,REJ,0,1,48,1,40,1,backdoor
192.168.1.193,192.168.1.37,8080,tcp,-,0.000143,0,0,REJ,0,1,52,1,40,1,backdoor
192.168.1.193,192.168.1.37,8080,tcp,-,0.0002,0,0,REJ,0,1,52,1,40,1,backdoor
192.168.1.193,192.168.1.37,8080,tcp,-,9e-06,0,0,REJ,0,1,52,1,40,1,backdoor
192.168.1.193,192.168.1.37,8080,tcp,-,0.000113,0,0,REJ,0,1,52,1,40,1,backdoor
192.168.1.193,192.168.1.37,8080,tcp,-,0.000204,0,0,REJ,0,1,48,1,40,1,backdoor
192.168.1.193,192.168.1.37,8080,tcp,-,1.8e-05,0,0,REJ,0,1,48,1,40,1,backdoor
192.168.1.193,192.168.1.37,8080,tcp,-,0.0001,0,0,REJ,0,1,52,1,40,1,backdoor
192.168.1.193,192.168.1.37,8080,tcp,-,0.000562,0,0,REJ,0,1,52,1,40,1,backdoor
192.168.1.193,192.168.1.37,8080,tcp,-,0.000121,0,0,REJ,0,1,52,1,40,1,backdoor
192.168.1.193,192.168.1.37,8080,tcp,-,0.000127,0,0,REJ,0,1,48,1,40,1,backdoor
192.168.1.193,192.168.1.37,8080,tcp,-,0.00015,0,0,REJ,0,1,52,1,40,1,backdoor
192.168.1.193,192.168.1.37,8080,tcp,-,2.3e-05,0,0,REJ,0,1,48,1,40,1,backdoor
192.168.1.193,192.168.1.37,8080,tcp,-,0.000127,0,0,REJ,0,1,52,1,40,1,backdoor
192.168.1.193,192.168.1.37,8080,tcp,-,0.000145,0,0,REJ,0,1,52,1,40,1,backdoor
192.168.1.193,192.168.1.37,8080,tcp,-,0.000127,0,0,REJ,0,1,52,1,40,1,backdoor
192.168.1.193,192.168.1.37,8080,tcp,-,0.000155,0,0,REJ,0,1,48,1,40,1,backdoor
192.168.1.193,192.168.1.37,8080,tcp,-,0.00019,0,0,REJ,0,1,52,1,40,1,backdoor
192.168.1.193,192.168.1.37,8080,tcp,-,9.4e-05,0,0,REJ,0,1,52,1,40,1,backdoor
192.168.1.193,192.168.1.37,8080,tcp,-,9.5e-05,0,0,REJ,0,1,48,1,40,1,backdoor
192.168.1.193,192.168.1.37,8080,tcp,-,0.000107,0,0,REJ,0,1,52,1,40,1,backdoor
192.168.1.193,192.168.1.37,8080,tcp,-,0.000103,0,0,REJ,0,1,48,1,40,1,backdoor
192.168.1.193,192.168.1.37,8080,tcp,-,0.000106,0,0,REJ,0,1,52,1,40,1,backdoor
192.168.1.193,192.168.1.37,8080,tcp,-,0.000123,0,0,REJ,0,1,52,1,40,1,backdoor
192.168.1.193,192.168.1.37,8080,tcp,-,0.000197,0,0,REJ,0,1,48,1,40,1,backdoor
192.168.1.193,192.168.1.37,8080,tcp,-,0.000127,0,0,REJ,0,1,52,1,40,1,backdoor
192.168.1.193,192.168.1.37,8080,tcp,-,0.028255,0,0,REJ,0,1,52,1,40,1,backdoor
192.168.1.193,192.168.1.37,8080,tcp,-,0.000129,0,0,REJ,0,1,48,1,40,1,backdoor
192.168.1.193,192.168.1.37,8080,tcp,-,0.00031,0,0,REJ,0,1,52,1,40,1,backdoor
192.168.1.193,192.168.1.37,8080,tcp,-,0.000534,0,0,REJ,0,1,52,1,40,1,backdoor
192.168.1.193,192.168.1.37,8080,tcp,-,3e-05,0,0,REJ,0,1,48,1,40,1,backdoor
192.168.1.193,192.168.1.37,8080,tcp,-,0.00014,0,0,REJ,0,1,52,1,40,1,backdoor
